epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,67.4572,0.53221,0.50966,0.89728,0.89896,0.98611,0.96754,0.84431,0.55953,0.63025,0.92424,0.00113649,0.00113649,0.00113649
43,69.0243,0.53922,0.49602,0.9056,0.89066,0.96004,0.96247,0.85258,0.53415,0.64365,0.93642,0.00113398,0.00113398,0.00113398
44,70.5705,0.53742,0.48863,0.91376,0.94273,0.96239,0.97753,0.85212,0.57078,0.56821,0.98673,0.00113122,0.00113122,0.00113122
45,72.1069,0.53515,0.47494,0.90587,0.90513,0.93753,0.97862,0.86481,0.57319,0.63121,0.95176,0.00112846,0.00112846,0.00112846
46,73.6358,0.50367,0.46105,0.88293,0.98102,0.95714,0.9776,0.87557,0.53569,0.49358,0.92971,0.00112597,0.00112597,0.00112597
47,75.3923,0.50705,0.45616,0.8906,0.96887,0.96839,0.98094,0.87831,0.52364,0.46543,0.8987,0.00112322,0.00112322,0.00112322
48,76.9187,0.52494,0.46289,0.89412,0.9473,0.92759,0.95593,0.84537,0.52488,0.52748,0.91033,0.00112017,0.00112017,0.00112017
49,78.4418,0.52972,0.45559,0.91533,0.73032,0.81424,0.88858,0.7837,0.52767,1.04032,0.90724,0.00111771,0.00111771,0.00111771
50,80.0171,0.5136,0.44384,0.88832,0.93898,0.87097,0.95331,0.84326,0.54228,0.62932,0.90028,0.00111495,0.00111495,0.00111495
51,81.5365,0.5223,0.44492,0.89717,0.94541,0.91652,0.97021,0.86081,0.53756,0.52834,0.91214,0.0011125,0.0011125,0.0011125
52,83.0651,0.51421,0.43591,0.89375,0.9214,0.89253,0.95892,0.85298,0.5269,0.59385,0.92002,0.00110975,0.00110975,0.00110975
53,84.6124,0.51784,0.44478,0.89606,0.91492,0.97361,0.97405,0.8488,0.56616,0.54447,0.95107,0.001107,0.001107,0.001107
54,86.1386,0.5248,0.45963,0.89435,0.89907,0.96013,0.95387,0.83313,0.56024,0.60725,0.95202,0.00110457,0.00110457,0.00110457
55,87.6529,0.5215,0.44464,0.90029,0.96204,0.92241,0.95172,0.84855,0.52961,0.5833,0.93516,0.00110183,0.00110183,0.00110183
56,89.2163,0.5256,0.44424,0.90447,0.94755,0.95851,0.9739,0.86069,0.53083,0.50466,0.91767,0.00109909,0.00109909,0.00109909
57,90.7487,0.49741,0.41227,0.88886,0.97777,0.96171,0.98261,0.88141,0.53654,0.48902,0.93743,0.00109668,0.00109668,0.00109668
58,92.2746,0.51563,0.4311,0.90098,0.98143,0.90884,0.98155,0.87251,0.53395,0.50138,0.9396,0.00109394,0.00109394,0.00109394
